time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-02 00:00:00+00:00,1.0,1.0,5,4
2025-08-03 00:00:00+00:00,5.0,5.0,4,4
2025-08-04 00:00:00+00:00,6.0,5.0,37,27
2025-08-05 00:00:00+00:00,7.0,5.0,22,18
2025-08-06 00:00:00+00:00,4.0,3.0,46,24
2025-08-07 00:00:00+00:00,12.0,8.0,46,28
2025-08-08 00:00:00+00:00,8.0,8.0,24,19
2025-08-09 00:00:00+00:00,4.0,4.0,7,7
2025-08-10 00:00:00+00:00,5.0,5.0,4,3
2025-08-11 00:00:00+00:00,13.0,13.0,83,17
2025-08-12 00:00:00+00:00,12.0,12.0,27,22
2025-08-13 00:00:00+00:00,17.0,17.0,27,23
2025-08-14 00:00:00+00:00,,,31,25
2025-08-15 00:00:00+00:00,,,17,15
